date_forward,bg_fasting
2021-03-11,86.0
2021-03-12,85.0
2021-03-13,88.0
2021-03-14,93.0
2021-03-15,90.0
2021-03-16,89.0
2021-03-17,89.0
2021-03-18,86.0
2021-03-19,91.0
2021-03-20,92.0
2021-03-21,83.0
2021-03-22,85.0
2021-03-23,90.0
2021-03-24,85.0
2021-03-25,88.0
2021-03-26,88.0
2021-03-27,85.0
2021-03-28,85.0
2021-03-29,92.0
2021-03-30,87.0
2021-03-31,92.0
2021-04-01,83.0
2021-04-02,85.0
2021-04-03,92.0
2021-04-04,91.0
2021-04-05,86.0
2021-04-06,92.0
2021-04-07,86.0
2021-04-08,101.0
2021-04-09,95.0
2021-04-10,92.0
2021-04-11,87.0
2021-04-12,97.0
2021-04-13,90.0
2021-04-14,97.0
2021-04-15,88.0
2021-04-16,83.0
2021-04-17,93.0
2021-04-18,98.0
2021-04-19,90.0
2021-04-20,95.0
2021-04-21,94.0
2021-04-22,94.0
2021-04-23,95.0
2021-04-24,95.0
2021-04-25,98.0
2021-04-26,90.0
2021-04-27,97.0
2021-04-28,99.0
2021-04-29,99.0
2021-04-30,97.0
2021-05-01,100.0
2021-05-02,91.0
2021-05-03,98.0
2021-05-04,106.0
2021-05-05,97.0
2021-05-06,92.0
2021-05-07,101.0
2021-05-08,106.0
2021-05-09,98.0
2021-05-10,104.0
2021-05-11,94.0
2021-05-12,97.0
2021-05-13,104.0
2021-05-14,91.0
2021-05-15,100.0
2021-05-16,98.0
2021-05-17,100.0
2021-05-18,92.0
2021-05-19,89.0
2021-05-20,93.0
2021-05-21,96.0
2021-05-22,101.0
2021-05-23,104.0
